"spatial_unit","unit_id","unit","climate_scenario","feeding_regime","livestock_species","mean_without_intervention_animals","mean_with_intervention_animals","mean_intervention_benefit_animals","median_intervention_benefit_animals","mean_intervention_benefit_pct","median_intervention_benefit_pct"
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Browser-Mixed",1,186844,226735,39891,39891,21.3497484788459,21.3497484788459
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Grazer",2,60138,84088,23950,23950,41.4634784972427,41.4634784972427
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Grazer-Mixed",1,212437,295503,83067,83067,39.1018354823749,39.1018354823749
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2090","Browser-Mixed",1,177972,217130,39158,39158,22.0024965467755,22.0024965467755
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2090","Grazer",2,57413,80638,23225,23225,42.1333644608497,42.1333644608497
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2090","Grazer-Mixed",1,202531,283189,80658,80658,39.8252860972817,39.8252860972817
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2050","Browser-Mixed",1,180154,218680,38526,38526,21.3851026219897,21.3851026219897
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2050","Grazer",2,57952,81082,23130,23130,41.5569450120978,41.5569450120978
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2050","Grazer-Mixed",1,204716,284938,80222,80222,39.1871694301582,39.1871694301582
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2090","Browser-Mixed",1,160559,196040,35481,35481,22.0985997906869,22.0985997906869
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2090","Grazer",2,51818,72833,21015,21015,42.241323440561,42.241323440561
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP585_2090","Grazer-Mixed",1,182756,255749,72992,72992,39.9396653188222,39.9396653188222
