"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2090",711984.171096846,676090.898123877,-35893.2729729696,-5.04130210053325,711984,676091,-35893
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Donkeys","Grazer","Donkey_Grazer","SSP245_2090",217066.446548501,296760.542880502,79694.096332001,36.7141479483307,217066,296761,79694
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Cattle","Grazer","Cattle_Grazer","SSP245_2090",24938.5092166734,36186.5928713333,11248.0836546599,45.1032720397725,24939,36187,11248
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2090",202530.592849061,283188.980885721,80658.3880366594,39.8252860972817,202531,283189,80658
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2090",177971.902864044,217130.164645936,39158.261781892,22.0024965467755,177972,217130,39158
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Donkeys","Grazer","Donkey_Grazer","SSP245_2090",89886.9936497715,125089.84765026,35202.8540004886,39.1634568819268,89887,125090,35203
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Cattle","Grazer","Cattle_Grazer","SSP585_2050",28425.4377395686,89399.329574366,60973.8918347974,214.50467146165,28425,89399,60974
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",307985.164199715,736235.901134898,428250.736935183,139.049144801495,307985,736236,428251
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",500077.049899343,677538.492767971,177461.442868628,35.4868200618982,500077,677538,177461
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",133712.500037481,323682.681913721,189970.18187624,142.073614525933,133713,323683,189970
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cattle","Grazer","Cattle_Grazer","SSP585_2050",23433.9607170515,27805.4112573601,4371.45054030863,18.6543392860081,23434,27805,4371
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",255311.269411789,276405.138399002,21093.8689872129,8.26202033142173,255311,276405,21094
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",390749.262687227,376183.324885289,-14565.9378019373,-3.72769425123561,390749,376183,-14566
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",90286.4088546111,102143.16235656,11856.7535019489,13.1323791170406,90286,102143,11857
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cattle","Grazer","Cattle_Grazer","SSP585_2050",135166.698328486,431985.253609934,296818.555281448,219.594440755009,135167,431985,296819
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",1651349.5318382,3410560.80628341,1759211.27444521,106.531733017597,1651350,3410561,1759211
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",3109404.10091338,2711561.70828097,-397842.392632408,-12.7948114725758,3109404,2711562,-397842
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",560730.331250106,1454466.4164541,893736.085203991,159.387861757268,560730,1454466,893736
"Cluster","Cluster_4","Cluster E — Kunene (North)","Cattle","Grazer","Cattle_Grazer","SSP585_2050",78024.379384414,270422.38585043,192398.006466016,246.587038543556,78024,270422,192398
"Cluster","Cluster_4","Cluster E — Kunene (North)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",889681.162343657,2164018.22713054,1274337.06478688,143.235253113592,889681,2164018,1274337
"Cluster","Cluster_4","Cluster E — Kunene (North)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",1546520.55238974,1808094.11848046,261573.566090725,16.9136818574142,1546521,1808094,261574
"Cluster","Cluster_4","Cluster E — Kunene (North)","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",340808.380342748,932906.455633927,592098.075291179,173.733426007809,340808,932906,592098
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cattle","Grazer","Cattle_Grazer","SSP585_2050",59956.3873622051,86293.1487157294,26336.7613535242,43.9265314543054,59956,86293,26337
