"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","With_Intervention","Browser-Mixed",1,2711562,2711562,-18.8945062565319,-18.8945062565319
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","With_Intervention","Grazer",2,943226,943226,159.276879291799,159.276879291799
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","With_Intervention","Grazer-Mixed",1,3410561,3410561,87.9016530544883,87.9016530544883
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","Without_Intervention","Browser-Mixed",1,3109404,3109404,-6.99464663394177,-6.99464663394177
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","Without_Intervention","Grazer",2,347949,347949,-10.3830928793114,-10.3830928793114
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2050","Without_Intervention","Grazer-Mixed",1,1651350,1651350,-9.02044431182969,-9.02044431182969
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","With_Intervention","Browser-Mixed",1,2546269,2546269,-23.8385873484272,-23.8385873484272
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","With_Intervention","Grazer",2,885475,885475,143.397724603379,143.397724603379
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","With_Intervention","Grazer-Mixed",1,3201875,3201875,76.4043076978104,76.4043076978104
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","Without_Intervention","Browser-Mixed",1,2920990,2920990,-12.6302976810133,-12.6302976810133
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","Without_Intervention","Grazer",2,324806,324806,-16.3987803635513,-16.3987803635513
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP585_2090","Without_Intervention","Grazer-Mixed",1,1544937,1544937,-14.88314566915,-14.88314566915
"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Browser-Mixed",1,1637859,1637859,0,0
"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Grazer",2,231190,231190,0,0
"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Grazer-Mixed",1,973357,973357,0,0
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","Browser-Mixed",1,1864495,1864495,13.8373093725002,13.8373093725002
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","Grazer",2,620054,620054,187.333767827155,187.333767827155
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","Grazer-Mixed",1,2230524,2230524,129.157786203028,129.157786203028
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","Browser-Mixed",1,1597670,1597670,-2.45377836278849,-2.45377836278849
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","Grazer",2,216178,216178,-7.07627234554577,-7.07627234554577
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","Grazer-Mixed",1,918957,918957,-5.58891403426027,-5.58891403426027
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","With_Intervention","Browser-Mixed",1,1777228,1777228,8.50917244156559,8.50917244156559
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","With_Intervention","Grazer",2,590353,590353,173.560802769581,173.560802769581
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","With_Intervention","Grazer-Mixed",1,2124064,2124064,118.220346575185,118.220346575185
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","Without_Intervention","Browser-Mixed",1,1524073,1524073,-6.94726929109928,-6.94726929109928
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","Without_Intervention","Grazer",2,204430,204430,-12.2119048882342,-12.2119048882342
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2090","Without_Intervention","Grazer-Mixed",1,871199,871199,-10.4954633299998,-10.4954633299998
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","With_Intervention","Browser-Mixed",1,1808094,1808094,10.3937385340678,10.3937385340678
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","With_Intervention","Grazer",2,601664,601664,178.807188173771,178.807188173771
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","With_Intervention","Grazer-Mixed",1,2164018,2164018,122.325153301502,122.325153301502
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","Without_Intervention","Browser-Mixed",1,1546521,1546521,-5.57671541924235,-5.57671541924235
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","Without_Intervention","Grazer",2,209416,209416,-9.99885425690484,-9.99885425690484
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2050","Without_Intervention","Grazer-Mixed",1,889681,889681,-8.59665675284519,-8.59665675284519
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","With_Intervention","Browser-Mixed",1,1684218,1684218,2.83041660031846,2.83041660031846
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","With_Intervention","Grazer",2,559059,559059,159.060909378071,159.060909378071
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","With_Intervention","Grazer-Mixed",1,2011795,2011795,106.686122113448,106.686122113448
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","Without_Intervention","Browser-Mixed",1,1446464,1446464,-11.6856923526376,-11.6856923526376
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","Without_Intervention","Grazer",2,193500,193500,-16.9145940370441,-16.9145940370441
"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP585_2090","Without_Intervention","Grazer-Mixed",1,825489,825489,-15.1916187985606,-15.1916187985606
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Browser-Mixed",1,748257,748257,0,0
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Grazer",2,149092,149092,0,0
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Grazer-Mixed",1,600720,600720,0,0
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","Browser-Mixed",1,699099,699099,-6.56965173889381,-6.56965173889381
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","Grazer",2,197599,197599,34.2566171700282,34.2566171700282
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","Grazer-Mixed",1,738611,738611,22.9543503595297,22.9543503595297
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","Browser-Mixed",1,735757,735757,-1.67047468842653,-1.67047468842653
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","Grazer",2,143746,143746,-3.79803983380757,-3.79803983380757
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","Grazer-Mixed",1,580119,580119,-3.42928232265045,-3.42928232265045
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","With_Intervention","Browser-Mixed",1,676091,676091,-9.64453352506928,-9.64453352506928
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","With_Intervention","Grazer",2,191564,191564,30.1481786465166,30.1481786465166
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","With_Intervention","Grazer-Mixed",1,715720,715720,19.1437218102453,19.1437218102453
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","Without_Intervention","Browser-Mixed",1,711984,711984,-4.84761430638981,-4.84761430638981
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","Without_Intervention","Grazer",2,138445,138445,-7.38341045928708,-7.38341045928708
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2090","Without_Intervention","Grazer-Mixed",1,559143,559143,-6.92106314193281,-6.92106314193281
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","With_Intervention","Browser-Mixed",1,674360,674360,-9.87584091260346,-9.87584091260346
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","With_Intervention","Grazer",2,191339,191339,30.0107216323133,30.0107216323133
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","With_Intervention","Grazer-Mixed",1,714795,714795,18.9897222486916,18.9897222486916
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","Without_Intervention","Browser-Mixed",1,709618,709618,-5.16386091291049,-5.16386091291049
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","Without_Intervention","Grazer",2,138598,138598,-7.24437320223703,-7.24437320223703
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2050","Without_Intervention","Grazer-Mixed",1,559383,559383,-6.88117941130901,-6.88117941130901
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2090","With_Intervention","Browser-Mixed",1,643813,643813,-13.9583359662962,-13.9583359662962
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2090","With_Intervention","Grazer",2,182374,182374,23.9041507024712,23.9041507024712
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2090","With_Intervention","Grazer-Mixed",1,681412,681412,13.4326859880849,13.4326859880849
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2090","Without_Intervention","Browser-Mixed",1,677998,677998,-9.38964522553174,-9.38964522553174
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP585_2090","Without_Intervention","Grazer",2,131820,131820,-11.816215890366,-11.816215890366
