"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
45,"!Khoro !goreb","Cluster E — Kunene (North)",15504868.6351699,11932606.7163894,15287143.0119685,11251573.6810173,14415646.8593866,11421174.7189866,14632118.5276039,10338995.5524185,13246519.9762453,11236087.667203,14395357.0938011,-3159269.42659812,-21.9464470802087
46,"Otjimboyo","Cluster A — South, Kunene South & Erongo",3742111.97085893,3105858.86378623,3751341.79911688,2915448.86209169,3519060.64172894,3010338.72304494,3635795.63555311,2650903.05731793,3199813.50156353,2920637.3765602,3526502.89449062,-605865.51793042,-17.1803493732261
47,"Tsiseb","Cluster A — South, Kunene South & Erongo",64688992.7892695,56650581.6825304,66689078.2813495,52770995.7703578,62114830.5452666,55543394.9142516,65378248.9025817,47475274.8800234,55886289.1740497,53110061.8117908,62517111.7258119,-9407049.91402105,-15.0471601363777
48,"Sorris Sorris","Cluster E — Kunene (North)",20195435.1171954,16792564.4514451,20226838.8777399,15698719.5721184,18911160.2350586,16268283.430819,19592297.3924151,14312504.337196,17243382.0118343,15768017.9478946,18993419.629262,-3225401.68136733,-16.9816796781458
49,"Okangundumba","Cluster E — Kunene (North)",22436101.4159372,18382296.2002617,22487800.5324352,17315466.4693597,21182140.0746485,17617402.3943011,21552116.9813557,16642147.5189899,20358800.4222668,17489328.1457281,21395214.5026766,-3905886.35694847,-18.2558878129492
50,"Sanitatas","Cluster E — Kunene (North)",17853628.5489577,16160869.4530152,19274301.0166621,14958600.2204152,17837400.3867842,15755057.3203031,18789571.3250455,14598299.9758471,17409702.9050101,15368206.7423952,18327743.9083755,-2959537.16598032,-16.1478531169778
51,"Epupa","Cluster E — Kunene (North)",51474291.8578059,43668543.4020421,53384279.576433,41265041.4511208,50444302.4902188,42286541.622026,51695755.959672,40926772.7636666,50030154.9390418,42036724.8097139,51388623.2413414,-9351898.43162752,-18.1983829138743
52,"Ongongo","Cluster E — Kunene (North)",7640975.02649616,6330454.58669487,7647973.03706956,5963212.96029463,7202636.31277628,6092641.6322628,7360668.44780355,5773310.67869833,6973255.71961761,6039904.96448766,7296133.37931675,-1256228.41482909,-17.2177282064262
53,"Otjiu-West","Cluster E — Kunene (North)",16446661.7937026,13545282.7209894,16393368.2610057,12694665.5074006,15363136.0007895,13044488.997912,15787239.7002757,12278269.6650112,14859151.0239933,12890676.7228283,15600723.7465161,-2710047.02368776,-17.3712903819156
54,"Marienfluss","Cluster E — Kunene (North)",33796815.4163418,30929931.9033184,36556447.0445125,28525921.4126972,33713760.7568085,30517675.1833173,36065835.584462,28479029.8925783,33656370.5255855,29613139.5979778,34998103.4778421,-5384963.87986432,-15.3864448205704
55,"Puros","Cluster E — Kunene (North)",39641450.9576418,36826388.5357,43085699.5083066,34229548.0347516,40047880.0157111,35825537.0129392,41913546.1612273,32403879.3142005,37912185.6571847,34821338.2243978,40739827.8356074,-5918489.61120959,-14.5275273010278
56,"Okondjombo","Cluster E — Kunene (North)",24497034.1784575,21112830.6248241,25335805.9980527,19618010.0450655,23542530.2522142,20462687.0822285,24555125.6078772,18934955.7749549,22723602.4680321,20032120.8817682,24039266.0815441,-4007145.19977583,-16.6691661308757
57,"Otjikongo","Cluster E — Kunene (North)",15675993.5355825,13161635.2440492,15856090.4250517,12259464.6233335,14764945.5603516,12698431.4632755,15298089.5367697,11742528.5638634,14142530.7155039,12465514.9736304,15015414.0594192,-2549899.08578884,-16.9818765949333
58,"Kunene River","Cluster E — Kunene (North)",49696555.8443792,40543078.2045894,50088984.7987978,38544500.3654465,47620180.3884351,38973985.7956929,48149539.8232745,37851456.5610601,46761961.3384213,38978255.2316972,48155166.5872322,-9176911.35553496,-19.0569610820703
59,"Ombazu","Cluster E — Kunene (North)",15987538.1821463,12905309.7891626,16008454.4401907,12201573.4905119,15136980.7227983,12404871.8127731,15387737.2679213,11939645.9990245,14812239.2463231,12362850.2728681,15336352.9193084,-2973502.64644033,-19.3885903779425
60,"Ombombo","Cluster E — Kunene (North)",28218843.5021946,23252794.144744,28570034.523298,22161697.3059672,27230609.7372296,22336283.6317539,27444089.2425365,21694907.606596,26657486.8850129,22361420.6722653,27475555.0970193,-5114134.424754,-18.6133980066842
61,"Otjikondavirongo","Cluster E — Kunene (North)",15505868.8361391,13096462.3298181,15626889.1765798,12204250.2158773,14563609.7838122,12601867.5897246,15036383.7343871,11590697.9509154,13831396.7636701,12373319.5215839,14764569.8646123,-2391250.34302843,-16.1958686568972
