"unit_id","unit","species","feeding_group","habitat_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Hippopotamus","Grazer","Wetland_Grazer",5386,4962,5721,4876,5670,4978,5697,4625,5330,0,-425,335,-510,284,-408,311,-761,-56,0,-7.88158416496747,6.22554379074012,-9.46944956980004,5.27011044238201,-7.58134943642836,5.77551215452229,-14.1261539874083,-1.03696597271599
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Impala","Mixed","Mixed_Open",267943,252073,267808,248099,265243,250624,262334,234827,246424,0,-15870,-135,-19845,-2700,-17319,-5610,-33117,-21519,0,-5.92307219131139,-0.0505409509241798,-7.40635054598128,-1.00783600751543,-6.46368717134848,-2.09358777669365,-12.3596282058296,-8.03131687732147
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Klipspringer","Browser","Rocky_Browser",1039014,1039771,913650,1037870,912105,1030911,884545,981748,839401,0,756,-125365,-1144,-126910,-8104,-154469,-57267,-199613,0,0.0728013822951089,-12.0657455349052,-0.110118606438311,-12.2144331503609,-0.779954319318499,-14.8669085418199,-5.5116256901777,-19.21179400269
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Kudu","Browser","Woodland_Browser",78924,76463,71047,75717,69851,75907,71527,71645,67290,0,-2461,-7877,-3206,-9073,-3017,-7397,-7279,-11634,0,-3.11811502001803,-9.98057135919772,-4.0625933187964,-11.4953785186297,-3.82207183596813,-9.37171461461897,-9.22257624044013,-14.7402306855713
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Leopard","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Ostrich","Mixed","Mixed_Open",133972,126036,133904,124049,132621,125312,131167,117413,123212,0,-7935,-68,-9922,-1350,-8660,-2805,-16558,-10760,0,-5.92307219131139,-0.0505409509241798,-7.40635054598128,-1.00783600751543,-6.46368717134848,-2.09358777669365,-12.3596282058296,-8.03131687732147
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Red Hartebeest","Grazer","General_Grazer",69817,63088,76266,61538,75484,62927,74645,58289,69808,0,-6729,6450,-8278,5667,-6889,4828,-11528,-9,0,-9.63800043193887,9.23813724927315,-11.8572790946354,8.11707444544337,-9.86781183118752,6.91560124111291,-16.5111954363062,-0.0129112499105434
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Red Lechwe","Grazer","Wetland_Grazer",94256,86827,100124,85331,99224,87110,99700,80941,93279,0,-7429,5868,-8926,4967,-7146,5444,-13315,-977,0,-7.88158416496748,6.22554379074012,-9.46944956980004,5.27011044238201,-7.58134943642836,5.7755121545223,-14.1261539874083,-1.03696597271599
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Reedbuck","Grazer","Wetland_Grazer",167567,154360,177999,151699,176398,154863,177245,143896,165829,0,-13207,10432,-15868,8831,-12704,9678,-23671,-1738,0,-7.88158416496748,6.22554379074012,-9.46944956980004,5.27011044238201,-7.58134943642834,5.7755121545223,-14.1261539874083,-1.03696597271598
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Roan","Grazer","General_Grazer",43635,39430,47666,38461,47177,39330,46653,36431,43630,0,-4206,4031,-5174,3542,-4306,3018,-7205,-6,0,-9.63800043193888,9.23813724927315,-11.8572790946354,8.11707444544337,-9.86781183118751,6.91560124111291,-16.5111954363062,-0.0129112499105559
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sable","Grazer","General_Grazer",52362,47316,57200,46154,56613,47195,55984,43717,52356,0,-5047,4837,-6209,4250,-5167,3621,-8646,-7,0,-9.63800043193886,9.23813724927316,-11.8572790946354,8.11707444544339,-9.8678118311875,6.91560124111291,-16.5111954363062,-0.0129112499105503
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Spotted Hyaena","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Springbok","Grazer","Arid_Grazer",244478,226470,257955,222074,256503,225112,248297,210173,233203,0,-18009,13477,-22404,12025,-19366,3819,-34305,-11275,0,-7.36617300771052,5.51264169525503,-9.16392832542133,4.91849686601789,-7.92139115668866,1.56207056040557,-14.031996811533,-4.61188933426271
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Steenbok","Browser","Shrub_Browser",1576192,1568542,1392238,1563698,1386631,1555737,1356494,1479271,1285270,0,-7649,-183953,-12494,-189560,-20454,-219698,-96920,-290922,0,-0.485304582167893,-11.6707399424533,-0.79265845134947,-12.0264834860957,-1.29771515628695,-13.9385314797394,-6.14901135251827,-18.4572481334607
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Vervet monkey","Omnivore","Omnivore",2078282,1980667,1972981,1955860,1949316,1969816,1956047,1851434,1838228,0,-97614,-105300,-122422,-128965,-108465,-122235,-226847,-240053,0,-4.69687009272373,-5.06670502060931,-5.89054089182452,-6.20538303990773,-5.21899439397325,-5.88152860663942,-10.9151417832623,-11.5505575654061
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Warthog","Grazer","General_Grazer",149607,135188,163428,131868,161751,134844,159953,124905,149588,0,-14419,13821,-17739,12144,-14763,10346,-24702,-19,0,-9.63800043193887,9.23813724927316,-11.8572790946354,8.11707444544338,-9.86781183118751,6.91560124111291,-16.5111954363062,-0.0129112499105531
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Baboon","Omnivore","Omnivore",3317052,3177423,3177429,3074331,3074333,3075643,3075649,2887687,2887689,0,-139628,-139623,-242720,-242718,-241408,-241403,-429364,-429362,0,-4.20941561702451,-4.20924203172483,-7.31734721857482,-7.31729123239619,-7.27779977280894,-7.2776320821489,-12.9441527212952,-12.9441001126396
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black rhinoceros","Browser","Shrub_Browser",155907,151115,70700,146522,68468,146275,68435,137628,64312,0,-4792,-85208,-9385,-87439,-9633,-87473,-18279,-91595,0,-3.07377395812777,-54.6528070379275,-6.01952126170707,-56.0841744198287,-6.17853789992562,-56.1055458974632,-11.7245720949143,-58.7495742676411
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black-backed Jackal","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black-faced Impala","Mixed","Mixed_Open",2106256,1999249,3109026,1931050,3008215,1935207,3009439,1813803,2825569,0,-107007,1002769,-175206,901959,-171049,903182,-292453,719312,0,-5.08045226810953,47.6090847179948,-8.31838276006435,42.8228485829287,-8.12100113077688,42.880938506649,-13.8849859675814,34.1512307250836
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Blue wildebeest","Grazer","General_Grazer",272958,251359,803315,241385,777127,243306,777584,226725,729939,0,-21599,530357,-31572,504170,-29651,504627,-46233,456982,0,-7.91292842636531,194.300338034846,-11.5667410957758,184.706211839164,-10.8629251451387,184.873642005602,-16.9377517510806,167.418585252359
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Buffalo","Grazer","General_Grazer",120101,110598,353459,106210,341936,107055,342137,99759,321173,0,-9504,233357,-13892,221835,-13047,222036,-20342,201072,0,-7.9129284263653,194.300338034846,-11.5667410957758,184.706211839164,-10.8629251451387,184.873642005602,-16.9377517510806,167.418585252359
