"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Black-faced Impala","Mixed","Mixed_Open",50,456.25,122249149.758546,267943.34193654,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",267943.34193654,0,0,267943,0
"Blue wildebeest","Grazer","General_Grazer",220,2007.5,95561513.9240069,47602.2485300159,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",47602.2485300159,0,0,47602,0
"Buffalo","Grazer","General_Grazer",500,4562.5,95561513.9240069,20944.989353207,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",20944.989353207,0,0,20945,0
"Burchell's zebra","Grazer","General_Grazer",320,2920,95561513.9240069,32726.5458643859,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",32726.5458643859,0,0,32727,0
"Bushpig","Omnivore","Omnivore",60,547.5,94821598.6231134,173190.13447144,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",173190.13447144,0,0,173190,0
"Cheetah","Carnivore","Carnivore",45,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",,,,,
"Damara dik dik","Browser","Shrub_Browser",5,45.625,143827489.189156,3152383.32469382,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",3152383.32469382,0,0,3152383,0
"Duiker","Browser","Woodland_Browser",17.5,159.6875,136833909.976211,856885.54192539,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",856885.54192539,0,0,856886,0
"Eland","Mixed","Mixed_Open",500,4562.5,122249149.758546,26794.334193654,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",26794.334193654,0,0,26794,0
"Elephant","Mixed","Large_Mixed",3500,31937.5,130647159.642897,4090.71341347623,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",4090.71341347623,0,0,4091,0
"Gemsbok","Mixed","Arid_Mixed",210,1916.25,105825551.40404,55225.3366752983,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",55225.3366752983,0,0,55225,0
