spatial_unit;unit_id;unit;climate_scenario;management_scenario;feeding_group;species_count;species_estimated;mean_species_capacity_animals;median_species_capacity_animals;mean_change_from_current_pct;median_change_from_current_pct
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;With_Intervention;Browser;7;7;851797;771363;-11.0028113485512;-11.6707399424533
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;With_Intervention;Grazer;12;12;86000;54600;7.86407295897021;9.23813724927315
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;With_Intervention;Mixed;6;6;125823;94318;-0.939893136303541;-0.0505409509241798
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;With_Intervention;Omnivore;3;3;849478;411038;-5.06670502060931;-5.06670502060931
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Without_Intervention;Browser;7;7;954972;830167;-1.53392248918038;-0.485304582167893
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Without_Intervention;Grazer;12;12;73324;45165;-8.82025846115796;-9.63800043193886
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Without_Intervention;Mixed;6;6;118669;89368;-5.39262417626465;-5.92307219131139
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Without_Intervention;Omnivore;3;3;852787;412639;-4.69687009272373;-4.69687009272373
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;With_Intervention;Browser;7;7;847102;758383;-11.8257170235053;-12.0264834860957
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;With_Intervention;Grazer;12;12;85260;54039;6.87223718144046;8.11707444544337
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;With_Intervention;Mixed;6;6;124671;93575;-1.79227524613092;-1.00783600751544
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;With_Intervention;Omnivore;3;3;839289;406108;-6.20538303990773;-6.20538303990773
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Without_Intervention;Browser;7;7;951331;822074;-2.09655341669656;-0.792658451349473
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Without_Intervention;Grazer;12;12;71784;44056;-10.8114299185575;-11.8572790946354
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Without_Intervention;Mixed;6;6;116829;88043;-6.76262451884351;-7.40635054598128
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Without_Intervention;Omnivore;3;3;842106;407471;-5.89054089182453;-5.89054089182453
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;With_Intervention;Browser;7;7;833098;776581;-12.1139495464136;-13.9385314797394
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;With_Intervention;Grazer;12;12;84179;53439;5.73832385601403;6.91560124111291
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;With_Intervention;Mixed;6;6;123091;91901;-3.18550911912491;-2.09358777669365
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;With_Intervention;Omnivore;3;3;842187;407510;-5.88152860663943;-5.88152860663943
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Without_Intervention;Browser;7;7;947241;824135;-2.30561647086911;-1.29771515628695
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Without_Intervention;Grazer;12;12;73183;45050;-8.97179278674791;-9.8678118311875
