spatial_unit;unit_id;unit;climate_scenario;feeding_group;species_count;species_estimated;mean_intervention_benefit_animals;median_intervention_benefit_animals;mean_intervention_benefit_pct;median_intervention_benefit_pct;species_positive_benefit;species_negative_benefit
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2050;Mixed;6;6;454101;342831;84.2469461106875;96.9206370240519;6;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2050;Omnivore;3;3;1094562;529627;34.9914603988973;34.9914603988973;3;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2090;Browser;7;7;-1251308;-1041379;-31.8636692465397;-31.2838863809781;0;7
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2090;Grazer;12;12;495936;357817;269.117094917396;249.122247245653;12;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2090;Mixed;6;6;433532;327299;84.5812783886045;97.3505498354888;6;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP245_2090;Omnivore;3;3;1042226;504303;34.9488789063297;34.9488789063297;3;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2050;Browser;7;7;-1256626;-1045705;-31.6394848944047;-31.0801449203046;0;7
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2050;Grazer;12;12;504026;363632;265.879563480316;246.65942566776;12;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2050;Mixed;6;6;441540;333351;84.6582032465885;97.3790957968079;6;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2050;Omnivore;3;3;1068014;516781;35.2863242949262;35.2863242949262;3;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2090;Browser;7;7;-1192548;-992526;-31.9632997951798;-31.3732876273764;0;7
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2090;Grazer;12;12;469785;338960;269.559349562012;249.396435413654;12;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2090;Mixed;6;6;410224;309699;84.3721949026538;97.1316678512697;6;0
Cluster;Cluster_4;Cluster E — Kunene (North);SSP585_2090;Omnivore;3;3;983064;475676;34.729028770427;34.729028770427;3;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2050;Browser;7;7;-434961;-348222;-25.0140453893355;-25.074892843204;0;7
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2050;Grazer;12;12;70085;51042;44.5514489962478;43.5435256392197;12;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2050;Mixed;6;6;45535;34038;13.7523531965421;16.7294999382848;6;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2050;Omnivore;3;3;2324;1125;0.146816020872085;0.146816020872086;3;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2090;Browser;7;7;-427508;-345691;-25.4122196023838;-25.3463928148448;0;7
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2090;Grazer;12;12;69033;50255;45.5587494370609;44.5092180739156;12;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2090;Mixed;6;6;44857;33580;14.024697229812;17.0482093639937;6;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP245_2090;Omnivore;3;3;2134;1032;0.139410049471967;0.139410049471966;3;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2050;Browser;7;7;-422390;-341486;-25.2667940075366;-25.2140973338556;0;7
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2050;Grazer;12;12;68610;49939;45.2044237636013;44.18643879127;12;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2050;Mixed;6;6;44726;33489;14.029728655821;17.0300898113063;6;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2050;Omnivore;3;3;2650;1282;0.173536725350015;0.173536725350016;3;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2090;Browser;7;7;-407009;-328979;-25.4014285519382;-25.3419566437878;0;7
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2090;Grazer;12;12;65702;47831;45.5426655798236;44.4929144100873;12;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2090;Mixed;6;6;42687;31953;14.0153995668464;17.0384093867316;6;0
Cluster;Cluster_5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;SSP585_2090;Omnivore;3;3;2017;976;0.138364488391788;0.138364488391784;3;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2050;Browser;7;7;8369;693;3.07402036930326;3.72070062630485;6;1
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2050;Grazer;12;12;30565;21928;44.2385509387676;44.363534118626;12;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2050;Mixed;6;6;32014;24206;34.6327368504171;36.8349311611275;6;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2050;Omnivore;3;3;113987;55155;28.4764609100081;28.4764609100081;3;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2090;Browser;7;7;9802;803;3.80728190055759;4.56249166031885;6;1
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2090;Grazer;12;12;29636;21259;44.9692509644599;45.1032720397725;12;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2090;Mixed;6;6;31146;23550;35.408155620362;37.6402435026883;6;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP245_2090;Omnivore;3;3;111506;53955;29.3020379454329;29.3020379454329;3;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2050;Browser;7;7;8087;670;3.07944193896278;3.7270713123769;6;1
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2050;Grazer;12;12;29518;21177;44.3425690847664;44.467517052367;12;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2050;Mixed;6;6;30918;23377;34.7042663149675;36.9131897533867;6;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2050;Omnivore;3;3;110087;53268;28.5301145540554;28.5301145540554;3;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2090;Browser;7;7;9048;740;3.89973306974634;4.66927318517622;6;1
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2090;Grazer;12;12;26815;19235;45.0863515256498;45.2217051624962;12;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2090;Mixed;6;6;28192;21316;35.527666162646;37.7648134833532;6;0
Cluster;Cluster_6;Cluster F —    //Karas,Hardap;SSP585_2090;Omnivore;3;3;100995;48869;29.4253379537953;29.4253379537953;3;0
