"spatial_unit","unit_id","unit","species","feeding_group","habitat_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Giraffe","Browser","Woodland_Browser","SSP245_2050",17091.6707528464,15881.0125959651,-1210.65815688121,-7.08332248138817,17092,15881,-1211
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",30735.1570481743,35008.2439467964,4273.08689862214,13.9029284669816,30735,35008,4273
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",4961.56409605946,5721.38414864157,759.820052582114,15.3141234875021,4962,5721,760
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Impala","Mixed","Mixed_Open","SSP245_2050",252072.864361826,267807.920823587,15735.0564617608,6.2422651091768,252073,267808,15735
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Klipspringer","Browser","Rocky_Browser","SSP245_2050",1039770.84576228,913649.591834279,-126121.253927997,-12.1297163160538,1039771,913650,-126121
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Kudu","Browser","Woodland_Browser","SSP245_2050",76462.7375785232,71046.6352977388,-5416.10228078437,-7.08332248138817,76463,71047,-5416
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Leopard","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Ostrich","Mixed","Mixed_Open","SSP245_2050",126036.432180913,133903.960411793,7867.52823088042,6.2422651091768,126036,133904,7868
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Red Hartebeest","Grazer","General_Grazer","SSP245_2050",63087.7039629178,76266.3873883397,13178.6834254218,20.8894643450142,63088,76266,13179
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Red Lechwe","Grazer","Wetland_Grazer","SSP245_2050",86827.3716810405,100124.222601228,13296.850920187,15.3141234875021,86827,100124,13297
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Reedbuck","Grazer","Wetland_Grazer","SSP245_2050",154359.771877405,177998.617957738,23638.8460803324,15.3141234875021,154360,177999,23639
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Roan","Grazer","General_Grazer","SSP245_2050",39429.8149768236,47666.4921177123,8236.67714088865,20.8894643450142,39430,47666,8237
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sable","Grazer","General_Grazer","SSP245_2050",47315.7779721884,57199.7905412547,9884.01256906638,20.8894643450142,47316,57200,9884
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Spotted Hyaena","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Springbok","Grazer","Arid_Grazer","SSP245_2050",226469.578249705,257955.481713237,31485.9034635315,13.9029284669816,226470,257955,31486
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Steenbok","Browser","Shrub_Browser","SSP245_2050",1568542.33198579,1392238.43243977,-176303.899546023,-11.2399835153202,1568542,1392238,-176304
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Vervet monkey","Omnivore","Omnivore","SSP245_2050",1980667.42610284,1972981.21479571,-7686.21130712866,-0.388061680917935,1980667,1972981,-7686
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Warthog","Grazer","General_Grazer","SSP245_2050",135187.937063395,163427.972975014,28240.0359116182,20.8894643450142,135188,163428,28240
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Baboon","Omnivore","Omnivore","SSP245_2050",3177423.0757311,3177428.833645,5.75791389448568,0.000181213321526622,3177423,3177429,6
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",151115.089504678,70699.5970346473,-80415.4924700312,-53.2147337063527,151115,70700,-80415
