"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_group","species_count","species_estimated","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Browser",7,7,38928,26007,-21.9356434985357,-21.8494825809519
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Grazer",12,12,4175,2532,-27.9295632221155,-27.8197551793059
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Mixed",6,6,6053,4897,-25.3191435436195,-26.0801816873592
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Omnivore",3,3,33474,16197,-24.5526793854563,-24.5526793854563
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Browser",7,7,2302,997,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Grazer",12,12,286,163,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Mixed",6,6,345,305,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Omnivore",3,3,1790,866,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Browser",7,7,3513,2052,75.8769803827425,67.3565830055008
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Grazer",12,12,1583,1093,632.117166031447,569.680139025557
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Mixed",6,6,1758,1372,374.734135238181,434.920749686252
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Omnivore",3,3,7135,3452,298.546767473898,298.546767473898
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Browser",7,7,1446,295,-51.2579011974964,-43.3569656135653
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Grazer",12,12,152,63,-62.5393756510523,-57.7536400371827
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Mixed",6,6,156,160,-52.1730586697028,-58.060947663842
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Omnivore",3,3,825,399,-53.9442936424143,-53.9442936424143
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Browser",7,7,3343,1951,67.2706982728822,59.2011290144798
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Grazer",12,12,1504,1039,595.788105859459,536.474834346922
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Mixed",6,6,1671,1305,351.250367594741,408.4214985995
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Omnivore",3,3,6782,3282,278.848913606599,278.848913606599
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Browser",7,7,1337,246,-56.1008008974135,-48.1532825160794
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Grazer",12,12,139,56,-67.0547461897277,-62.2822764776867
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Mixed",6,6,140,146,-56.8056229088598,-62.6892348053158
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Omnivore",3,3,740,358,-58.6438625538162,-58.6438625538162
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Browser",7,7,3429,2003,71.6442137263825,63.3289675817632
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Grazer",12,12,1545,1067,614.496174151851,553.561985994593
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Mixed",6,6,1716,1339,363.308180951995,422.046111279034
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Omnivore",3,3,6963,3369,288.954546788381,288.954546788381
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Browser",7,7,1412,288,-52.4339691213008,-44.7225959783628
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Grazer",12,12,148,61,-63.4445064948749,-58.7736203329491
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Mixed",6,6,152,157,-53.3270233779878,-59.0736213007429
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Omnivore",3,3,805,389,-55.0558005458662,-55.0558005458662
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Browser",7,7,3092,1805,54.7412740127131,47.2758894260946
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Carnivore",4,0,,,,
