"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",470.657488800678,4473.47990705434,4002.82241825367,850.474604888068,471,4473,4003
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",922.002479013685,3265.12669205715,2343.12421304346,254.134263885063,922,3265,2343
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",341.550655114518,2048.33805291671,1706.78739780219,499.717208046322,342,2048,1707
"Conservancy","Conservancy_13","Kwandu","Cattle","Grazer","Cattle_Grazer","SSP245_2050",639.27233054801,636.482843251562,-2.78948729644821,-0.436353516827007,639,636,-3
"Conservancy","Conservancy_13","Kwandu","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",6457.83088256795,6249.98003665104,-207.850845916913,-3.21858608093902,6458,6250,-208
"Conservancy","Conservancy_13","Kwandu","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",9173.79420537512,8821.29954926125,-352.494656113868,-3.84240858495969,9174,8821,-352
"Conservancy","Conservancy_13","Kwandu","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",2377.07715489494,2312.40250466946,-64.674650225485,-2.72076361056709,2377,2312,-65
"Conservancy","Conservancy_14","Orupembe","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1902.31127067787,16135.0241185375,14232.7128478597,748.18002012825,1902,16135,14233
"Conservancy","Conservancy_14","Orupembe","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",23872.1256474138,126019.969364847,102147.843717433,427.895886717986,23872,126020,102148
"Conservancy","Conservancy_14","Orupembe","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",45920.8420698427,95807.2190530672,49886.3769832245,108.635588405262,45921,95807,49886
"Conservancy","Conservancy_14","Orupembe","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",11747.5125946821,56299.5957322544,44552.0831375724,379.246949330708,11748,56300,44552
"Conservancy","Conservancy_15","Mayuni","Cattle","Grazer","Cattle_Grazer","SSP245_2050",407.600531173033,512.365784305946,104.765253132913,25.702923603021,408,512,105
"Conservancy","Conservancy_15","Mayuni","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",4551.78289222862,5120.65798663516,568.875094406533,12.4978521136803,4552,5121,569
"Conservancy","Conservancy_15","Mayuni","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",7616.46479149651,7379.10807797492,-237.356713521584,-3.11636330002581,7616,7379,-237
"Conservancy","Conservancy_15","Mayuni","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",1600.39342055096,1900.53323612158,300.139815570618,18.7541270612879,1600,1901,300
"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Cattle","Grazer","Cattle_Grazer","SSP245_2050",262.215083015287,1252.60393929857,990.388856283283,377.700948738156,262,1253,990
"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",2319.74727807841,9644.62546749328,7324.87818941487,315.7619046969,2320,9645,7325
"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",2588.59633958216,6900.60704325516,4312.010703673,166.577176894603,2589,6901,4312
"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",1233.96715016878,4354.82524767993,3120.85809751115,252.912575272711,1234,4355,3121
"Conservancy","Conservancy_17","Oskop","Cattle","Grazer","Cattle_Grazer","SSP245_2050",877.321871091823,877.321871091823,0,0,877,877,0
"Conservancy","Conservancy_17","Oskop","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",6600.96975809488,6600.96975809488,0,0,6601,6601,0
"Conservancy","Conservancy_17","Oskop","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",4246.23785608442,4246.23785608442,0,0,4246,4246,0
"Conservancy","Conservancy_17","Oskop","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",2895.16217460302,2895.16217460302,0,0,2895,2895,0
"Conservancy","Conservancy_18","//Huab","Cattle","Grazer","Cattle_Grazer","SSP245_2050",4107.59002235317,11115.6294762725,7008.03945391934,170.611950457133,4108,11116,7008
"Conservancy","Conservancy_18","//Huab","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",47289.703672467,90390.7733272653,43101.0696547983,91.1426088717333,47290,90391,43101
"Conservancy","Conservancy_18","//Huab","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",83256.6749163606,79929.9957399616,-3326.67917639899,-3.99569065151949,83257,79930,-3327
"Conservancy","Conservancy_18","//Huab","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",16876.5081599009,38127.2530233753,21250.7448634744,125.919086235901,16877,38127,21251
"Conservancy","Conservancy_19","Omatendeka","Cattle","Grazer","Cattle_Grazer","SSP245_2050",4692.32726666222,8823.14457245901,4130.81730579679,88.033444196128,4692,8823,4131
"Conservancy","Conservancy_19","Omatendeka","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",50428.1626714153,76258.795430564,25830.6327591487,51.222633129544,50428,76259,25831
"Conservancy","Conservancy_19","Omatendeka","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",81199.5137204431,80886.5426407331,-312.971079710027,-0.385434672413847,81200,80887,-313
"Conservancy","Conservancy_19","Omatendeka","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",18674.3670667388,31240.9482614752,12566.5811947364,67.293210794378,18674,31241,12567
"Conservancy","Conservancy_20","//Gamaseb","Cattle","Grazer","Cattle_Grazer","SSP245_2050",830.937155307939,4457.31121743373,3626.37406212579,436.419774824233,831,4457,3626
"Conservancy","Conservancy_20","//Gamaseb","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",8227.06533365125,35033.1708652952,26806.105531644,325.828280735765,8227,35033,26806
"Conservancy","Conservancy_20","//Gamaseb","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",11527.3014455422,27260.1248944375,15732.8234488953,136.483144153218,11527,27260,15733
"Conservancy","Conservancy_20","//Gamaseb","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",4952.13087678987,16377.9833423917,11425.8524656018,230.72597937897,4952,16378,11426
"Conservancy","Conservancy_21","Ehi-Rovipuka","Cattle","Grazer","Cattle_Grazer","SSP245_2050",6741.50189579037,11694.5475616781,4953.04566588772,73.4709526519688,6742,11695,4953
"Conservancy","Conservancy_21","Ehi-Rovipuka","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",72344.5529500561,101995.172880913,29650.6199308573,40.9852832338696,72345,101995,29651
"Conservancy","Conservancy_21","Ehi-Rovipuka","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",116290.514992183,110792.878557536,-5497.63643464747,-4.7275020108192,116291,110793,-5498
"Conservancy","Conservancy_21","Ehi-Rovipuka","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",26263.0582333232,41204.9489843067,14941.8907509835,56.8931866892216,26263,41205,14942
"Conservancy","Conservancy_22","/Audi","Cattle","Grazer","Cattle_Grazer","SSP245_2050",770.692252980086,2150.96656062056,1380.27430764048,179.095391487754,771,2151,1380
"Conservancy","Conservancy_22","/Audi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",9558.80176747283,17739.5321937372,8180.73042626438,85.5832208394799,9559,17740,8181
"Conservancy","Conservancy_22","/Audi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",18280.7803458457,16430.6643202402,-1850.11602560551,-10.1205527915331,18281,16431,-1850
"Conservancy","Conservancy_22","/Audi","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",3223.59441091838,7379.65214959743,4156.05773867905,128.926198798534,3224,7380,4156
"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Cattle","Grazer","Cattle_Grazer","SSP245_2050",10488.9370845382,17556.6170093305,7067.67992479231,67.382232039611,10489,17557,7068
"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",107134.008603183,149034.43257765,41900.4239744672,39.1102923532558,107134,149034,41900
"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",159483.8290826,150355.964238075,-9127.86484452544,-5.72337954075452,159484,150356,-9128
"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",39483.0124540641,60894.8566535345,21411.8441994703,54.2305231253102,39483,60895,21412
"Conservancy","Conservancy_24","Uukwaluudhi","Cattle","Grazer","Cattle_Grazer","SSP245_2050",3562.28693776323,7665.72709521678,4103.44015745356,115.191174353578,3562,7666,4103
"Conservancy","Conservancy_24","Uukwaluudhi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",42762.548666314,67083.5655930926,24321.0169267786,56.8745729272618,42763,67084,24321
"Conservancy","Conservancy_24","Uukwaluudhi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",78995.6076419293,73499.7029020776,-5495.90473985174,-6.95722826104907,78996,73500,-5496
"Conservancy","Conservancy_24","Uukwaluudhi","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",14639.9217795657,26997.0277715986,12357.1059920329,84.4069126740882,14640,26997,12357
"Conservancy","Conservancy_25","Okamatapati","Cattle","Grazer","Cattle_Grazer","SSP245_2050",7043.5282409416,23225.7517706673,16182.2235297257,229.745987751764,7044,23226,16182
"Conservancy","Conservancy_25","Okamatapati","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",87546.3366920453,183456.553712994,95910.217020949,109.55366111814,87546,183457,95910
"Conservancy","Conservancy_25","Okamatapati","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",167793.123081838,146102.513529411,-21690.609552427,-12.9269955490654,167793,146103,-21691
