"spatial_unit","unit_id","unit","climate_scenario","feeding_regime","livestock_species","mean_without_intervention_animals","mean_with_intervention_animals","mean_intervention_benefit_animals","median_intervention_benefit_animals","mean_intervention_benefit_pct","median_intervention_benefit_pct"
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Grazer",2,1514,1417,-96,-96,-5.56246129732189,-5.56246129732189
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Grazer-Mixed",1,6482,6032,-450,-450,-6.94207889779443,-6.94207889779443
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Browser-Mixed",1,8657,8171,-486,-486,-5.61558256235564,-5.61558256235564
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Grazer",2,1375,1292,-84,-84,-5.20448978368489,-5.20448978368489
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Grazer-Mixed",1,5949,5546,-403,-403,-6.77960474660588,-6.77960474660588
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Browser-Mixed",1,45921,95807,49886,49886,108.635588405262,108.635588405262
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Grazer",2,6825,36217,29392,29392,563.713484729479,563.713484729479
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Grazer-Mixed",1,23872,126020,102148,102148,427.895886717986,427.895886717986
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Browser-Mixed",1,42902,90245,47343,47343,110.351985644303,110.351985644303
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Grazer",2,6372,34187,27815,27815,574.150761879975,574.150761879975
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Grazer-Mixed",1,22207,118903,96695,96695,435.418671710893,435.418671710893
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Browser-Mixed",1,44867,93734,48867,48867,108.915132838853,108.915132838853
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Grazer",2,6672,35442,28770,28770,564.636236549827,564.636236549827
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Grazer-Mixed",1,23323,123315,99992,99992,428.723155242832,428.723155242832
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Browser-Mixed",1,41386,86971,45585,45585,110.144886700197,110.144886700197
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Grazer",2,6144,32942,26797,26797,573.525271643037,573.525271643037
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Grazer-Mixed",1,21423,114574,93152,93152,434.832283299017,434.832283299017
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Browser-Mixed",1,7616,7379,-237,-237,-3.11636330002581,-3.11636330002581
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Grazer",2,1004,1206,202,202,22.2285253321545,22.2285253321545
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Grazer-Mixed",1,4552,5121,569,569,12.4978521136803,12.4978521136803
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","Browser-Mixed",1,7604,7434,-171,-171,-2.24533847170781,-2.24533847170781
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","Grazer",2,946,1202,255,255,29.4958015679692,29.4958015679692
