"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,16828581.9348917,36884.5631449682,"Forage-limited potential livestock carrying capacity",92999.5541105006,92214.3134132722,785.240697228393,0.844348883969253,"Conservancy","Conservancy_10","Salambala","Current","Current","Current",36884.5631449682,0,0,36885,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,19069134.2135644,46439.291844297,"Forage-limited potential livestock carrying capacity",92999.5541105006,92214.3134132722,785.240697228393,0.844348883969253,"Conservancy","Conservancy_10","Salambala","Current","Current","Current",46439.291844297,0,0,46439,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,13467370.7977834,13665.52085011,"Forage-limited potential livestock carrying capacity",92999.5541105006,92214.3134132722,785.240697228393,0.844348883969253,"Conservancy","Conservancy_10","Salambala","Current","Current","Current",13665.52085011,0,0,13666,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,7050826.5360911,1951.24575511031,"Forage-limited potential livestock carrying capacity",132499.501223411,132499.501223411,0,0,"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Current",1951.24575511031,0,0,1951,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,8398954.08626742,18408.6664904491,"Forage-limited potential livestock carrying capacity",132499.501223411,132499.501223411,0,0,"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Current",18408.6664904491,0,0,18409,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,9765370.06379468,23781.7231386172,"Forage-limited potential livestock carrying capacity",132499.501223411,132499.501223411,0,0,"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Current",23781.7231386172,0,0,23782,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,8161560.15211276,8281.64398996729,"Forage-limited potential livestock carrying capacity",132499.501223411,132499.501223411,0,0,"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Current",8281.64398996729,0,0,8282,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,312010.47301235,86.3457791648955,"Forage-limited potential livestock carrying capacity",15972.5041925849,15972.5041925849,0,0,"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Current",86.3457791648955,0,0,86,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,406190.296035565,890.280100899869,"Forage-limited potential livestock carrying capacity",15972.5041925849,15972.5041925849,0,0,"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Current",890.280100899869,0,0,890,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,548487.930777351,1335.73925303465,"Forage-limited potential livestock carrying capacity",15972.5041925849,15972.5041925849,0,0,"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Current",1335.73925303465,0,0,1336,0
