"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","With_Intervention","Grazer",2,1417,1417,-17.725965819703,-17.725965819703
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","With_Intervention","Grazer-Mixed",1,6032,6032,-16.4120371880784,-16.4120371880784
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Without_Intervention","Browser-Mixed",1,9208,9208,-5.18220096761252,-5.18220096761252
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Without_Intervention","Grazer",2,1514,1514,-12.8669343072248,-12.8669343072248
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Without_Intervention","Grazer-Mixed",1,6482,6482,-10.1764129029738,-10.1764129029738
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","With_Intervention","Browser-Mixed",1,8171,8171,-15.8623338589171,-15.8623338589171
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","With_Intervention","Grazer",2,1292,1292,-25.1565175830097,-25.1565175830097
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","With_Intervention","Grazer-Mixed",1,5546,5546,-23.1434249726649,-23.1434249726649
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Without_Intervention","Browser-Mixed",1,8657,8657,-10.8564014852675,-10.8564014852675
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Without_Intervention","Grazer",2,1375,1375,-21.029238285623,-21.029238285623
"Conservancy","Conservancy_13","Kwandu","SSP585_2090","Without_Intervention","Grazer-Mixed",1,5949,5949,-17.5539056464827,-17.5539056464827
"Conservancy","Conservancy_14","Orupembe","Current","Current","Browser-Mixed",1,48061,48061,0,0
"Conservancy","Conservancy_14","Orupembe","Current","Current","Grazer",2,7313,7313,0,0
"Conservancy","Conservancy_14","Orupembe","Current","Current","Grazer-Mixed",1,26009,26009,0,0
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","With_Intervention","Browser-Mixed",1,95807,95807,99.3453115790318,99.3453115790318
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","With_Intervention","Grazer",2,36217,36217,500.026797565391,500.026797565391
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","With_Intervention","Grazer-Mixed",1,126020,126020,384.521804638678,384.521804638678
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Without_Intervention","Browser-Mixed",1,45921,45921,-4.45287254070189,-4.45287254070189
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Without_Intervention","Grazer",2,6825,6825,-8.7712198444352,-8.7712198444352
"Conservancy","Conservancy_14","Orupembe","SSP245_2050","Without_Intervention","Grazer-Mixed",1,23872,23872,-8.21640841889698,-8.21640841889698
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","With_Intervention","Browser-Mixed",1,90245,90245,87.7726230756893,87.7726230756893
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","With_Intervention","Grazer",2,34187,34187,466.38052550136,466.38052550136
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","With_Intervention","Grazer-Mixed",1,118903,118903,357.156613027653,357.156613027653
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Without_Intervention","Browser-Mixed",1,42902,42902,-10.7340857750659,-10.7340857750659
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Without_Intervention","Grazer",2,6372,6372,-15.0948599984179,-15.0948599984179
"Conservancy","Conservancy_14","Orupembe","SSP245_2090","Without_Intervention","Grazer-Mixed",1,22207,22207,-14.6169834595344,-14.6169834595344
