"PA_ID","PA","Cluster","Current_Percolation_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
69,"Okatjandja Kozomenje","Cluster E — Kunene (North)",4167290.1076671,5319991.87339668,4183889.82891501,5020480.81591314,3948676.95332225,5101510.63344178,4012028.78112607,4880248.56371554,3838269.18441411,5080557.97161679,3995716.18694436,1084841.78467243,27.1501211276479
70,"Otjombande","Cluster E — Kunene (North)",2227068.88200545,2803688.28289355,2238525.1309813,2654742.27757787,2119626.97675689,2685790.99108396,2144397.11774592,2570802.37436135,2052606.6277367,2678755.98147918,2138788.9633052,539967.018173981,25.2463907116641
71,"Sobbe","Cluster C — Kavango East, Kavango West & Zambezi",4270301.46915992,4885251.09580299,4013465.20802887,4911027.90345889,4037974.89304803,4977768.57324557,4089465.31762708,4756025.52683423,3910527.99107015,4882518.27483542,4012858.35244353,869659.922391885,21.6718320461605
72,"Balyerwa","Cluster C — Kavango East, Kavango West & Zambezi",2323736.12532622,2787300.02679251,2191186.98469271,2801266.85658683,2202458.41311407,2833424.18439006,2227453.89514445,2706347.08557086,2127862.63843546,2782084.53833507,2187240.48284667,594844.055488394,27.1960975555011
73,"Wuparo","Cluster C — Kavango East, Kavango West & Zambezi",1960623.21388034,2320854.73099477,1850263.7862521,2331875.41961039,1860130.51527106,2358772.56167958,1880504.81329818,2253026.73530256,1797254.57963551,2316132.36189682,1847038.42361421,469093.93828261,25.397086074945
74,"Dzoti","Cluster C — Kavango East, Kavango West & Zambezi",2994750.35656733,3543693.80844302,2828733.94710823,3563673.75233903,2845411.02693038,3602479.72060585,2875698.11955247,3442011.15224993,2748318.52684025,3537964.60840946,2824540.40510783,713424.203301626,25.258063294527
75,"Huibes","Cluster F —    //Karas,Hardap",4874495.28863016,6135430.56062767,4738484.27548688,5919571.35700904,4572444.73941403,5900419.21369883,4556707.97254021,5237549.76276315,4045251.46613925,5798242.72352467,4478222.11339509,1320020.61012958,29.4764434792366
76,"Kabulabula","Cluster C — Kavango East, Kavango West & Zambezi",1053037.27801437,1351053.63407417,1004707.54352757,1364553.38201876,1013731.45647244,1389185.85650985,1033063.44669241,1329129.06405084,987413.012424208,1358480.4841634,1009728.86477916,348751.619384247,34.5391353609093
77,"Okongoro","Cluster E — Kunene (North)",6059241.18068143,7625494.79045911,6123320.48987663,7277522.40056324,5844355.66288365,7303366.30242757,5864623.11031074,7052335.42840576,5663452.10390822,7314679.73046392,5873937.84174481,1440741.88871911,24.527700624955
78,"Lusese","Cluster C — Kavango East, Kavango West & Zambezi",2561094.4063408,3179065.00805303,2416576.9030825,3209718.02100198,2440055.41797316,3265436.83003605,2482182.27222423,3126096.75878836,2376420.50287248,3195079.15446985,2428808.77403809,766270.380431764,31.5492264612408
79,"Nakabolelwa","Cluster C — Kavango East, Kavango West & Zambezi",1364191.52579804,1745581.96959283,1298732.71592723,1762794.46366132,1310292.55129555,1792711.64561653,1333797.85816978,1716119.86664038,1275597.39448708,1754301.98637776,1304605.12996991,449696.856407853,34.4699592295966
80,"Ohungu","Cluster A — South, Kunene South & Erongo",4117256.88169538,5256597.67353521,4094953.42124378,4956811.50893682,3861327.62840252,5064030.12935963,3945058.91369689,4514930.86284968,3517052.23981624,4948092.54367034,3854598.05078986,1093494.49288048,28.3685738038603
81,"Maurus Nekaro","Cluster C — Kavango East, Kavango West & Zambezi",12086798.0727733,14293471.095957,11848829.5579062,14186345.756923,11755796.7642412,14110002.7184384,11697835.0458903,13766653.5482624,11410315.8266993,14089118.2798952,11678194.2986843,2410923.98121098,20.6446640597735
82,"Kapinga kaMwalye","Cluster C — Kavango East, Kavango West & Zambezi",13491570.2328564,15946715.6081236,13174397.5402626,15851530.2029103,13095135.1710695,15796301.1939892,13050965.2267453,15301219.015699,12640904.5019056,15723941.5051805,12990350.6099957,2733590.8951848,21.0432418435371
83,"Otjindjerese","Cluster E — Kunene (North)",4590984.94130464,5818438.5850816,4644056.22722916,5543625.69471218,4424252.19872879,5583987.58846343,4456932.53438248,5407184.00650231,4315339.69629087,5588308.96868988,4460145.16415783,1128163.80453205,25.2943292877122
84,"Nyae Nyae","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",76447251.646926,94333338.7881413,75123725.5707266,92099595.8571575,73346080.916706,91230817.3500992,72652831.0644481,87877115.9447523,69984027.9965499,91385216.9850376,72776666.3871077,18608550.5979299,25.5693912921881
85,"Ekango Lyomongwa","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",11307317.7754014,14033218.3947749,11395941.1479545,13633321.5272644,11072623.7663215,13488084.0364285,10953160.4223959,13330215.9027392,10826652.6080765,13621209.9653018,11062094.4861871,2559115.47911468,23.1340952864774
86,"#Khoadi-//HÃ´as","Cluster E",15138728.7965827,19221968.4926476,15050258.4121017,18130252.6466133,14192126.2695369,18564424.6594166,14535780.8834415,16903086.499498,13229104.101518,18204933.0745439,14251817.4166495,3953115.65789438,27.7376249100427
87,"Joseph Mbambangandu","Cluster C",421199.102624365,494714.650597491,409701.252040041,493581.50440482,408354.730233487,491494.606290095,407143.736774618,475635.229158485,394035.370692389,488856.497612723,404808.772435134,84047.7251775889,20.7623280177449
88,"Impalila","Cluster C",877233.994570798,1100890.23768346,836059.513837721,1112049.74728556,843623.25915214,1133137.74168639,860546.277073575,1084122.98976463,822428.738178292,1107550.17910501,840664.447060432,266885.73204458,31.7469988147833
89,"Kasika","Cluster C",1785627.71672175,2282721.63640482,1693850.73421647,2305563.04565007,1708984.2926239,2348716.2059406,1742820.69228257,2247182.26246343,1665708.25720438,2296045.78761473,1702840.99408183,593204.793532903,34.8361823326175
90,"!Gawachab","Cluster F",259964.228465448,287379.219117477,245686.368628381,274530.248111959,234764.191614775,271755.296142244,232330.09758522,236969.327180548,202640.827710223,267658.522638057,228855.37138465,38803.1512534074,16.9553159354031
